Dateiname,Bild,Erkannte Objekte
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/332ed394c0881b030ed571788500f98b.jpg,Bild 180,"flag, agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/33628db571943430c56f659ae77cc9b8.jpg,Bild 181,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/338d8011892200a5566613ae2839584c.jpg,Bild 182,"machinery, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/342f8c4406bb8ded528cb7541a652653.jpg,Bild 183,"agricultural labourer, flower, flower, flower, flower"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/348fb24d6f3e1d9b9dcdbcc600811ef1.jpg,Bild 184,"building, building"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/34f3854120d4e94036df69289aba3b46.jpg,Bild 185,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3518e466efecb164f5b7079fd6a53a63.jpg,Bild 186,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/352d9acf4818ed9061dd0852bbc16503.jpg,Bild 187,"mountain, hammer, flag, mountain, flag, mountain"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/355519b17a847ce8001797f3463a7844.jpg,Bild 188,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/35738577035d600c041130a7a8927dd4.jpg,Bild 189,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/35bc28342fbc1889516729ab1504733a.jpg,Bild 190,"star, agricultural labourer, flag, agricultural labourer, flag, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/35d4c782b7ae7340f6bf0b9ab7c4160a.jpg,Bild 191,"agricultural labourer, agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/360cdea4c56eda55172bd5545840406a.jpg,Bild 192,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/365911b2f6d2f7c4c97c312976fe2870.jpg,Bild 193,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/369e87be19cedfe7a2af15d97e1ef854.jpg,Bild 194,"horse, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/36d1c1de62b2a4cf7fa02d0d73df256c.jpg,Bild 195,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3723b00e057fafe682a2efa07e2272be.jpg,Bild 196,"agricultural labourer, military, wheat, wheat"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3731ccd59d5733461e2e575664e34f1b.jpg,Bild 197,"flag, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/37457bf4690ef3ee7119e3c0a2a353ca.jpg,Bild 198,"factory worker, agricultural labourer, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/37736e500d47f6ec393e388a1a2de8d7.jpg,Bild 199,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3796a209e7f05c36235e7353195f9eb0.jpg,Bild 200,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/379983b2864be941fc642cb0dfee5edd.jpg,Bild 201,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/37be44336793b9f026e288d626f1df0b.jpg,Bild 202,crane
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/37e10e5c0191368e6092679bf5d419cd.jpg,Bild 203,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/37e5ce8d17a93b438e3c42853e1674bc.jpg,Bild 204,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3896c305cf1a346a94b30d1bcd91c107.jpg,Bild 205,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/38cbb289f7df30c43c3707ebe7a04a3c.jpg,Bild 206,"factory worker, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/38ef0bdd932e91abafa297c8933d32b7.jpg,Bild 207,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/390f186fc8d15b918dfc21919375a442.jpg,Bild 208,"agricultural labourer, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/393835669c70e6bd479cd0ce426b76e4.jpg,Bild 209,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/395abcb127125d384e582317e3589431.jpg,Bild 210,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3963e4546f7be75e73cc6b723059b161.jpg,Bild 211,"flag, flag, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/398db10cebd2aca81857bc726c4de442.jpg,Bild 212,"agricultural labourer, flag, wheat, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/399d1a7d1ab69d24911f62bfe524cf6b.jpg,Bild 213,machinery
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/39ac327b7739f0570849d6d5ba1787aa.jpg,Bild 214,"plane, plane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/39cc2f301ee985396d39152a39a081a5.jpg,Bild 215,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3a7e26d47aec141393e76b02b21c56c6.jpg,Bild 216,"flag, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3a934a57f029691cf885ea73e0648767.jpg,Bild 217,"agricultural labourer, grass, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3affc6d68649f2f2335da9d613efd43f.jpg,Bild 218,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3b602cbb6132ddf16eefeb0e43fe9b51.jpg,Bild 219,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3b7911cdf47f2056c7984ec53402efba.jpg,Bild 220,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3ba15b852029433e26d599755c10dbd5.jpg,Bild 221,"factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3bc4c0b7de081e255f38cf32650a1614.jpg,Bild 222,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3c6d91e39cf3e0f67926de8361656b93.jpg,Bild 223,"military, factory worker, flower"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3c7866977ba84d5bf82c276d12976462.jpg,Bild 224,"factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3c9ec8d20947704cb5cf1a0b28e651c6.jpg,Bild 225,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3ccf060930ba6d1376233f2777267d7c.jpg,Bild 226,"agricultural labourer, agricultural labourer, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3d17de6fae5ace0db26fdd8daa414d45.jpg,Bild 227,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3d62b97c27b9f3ead0129e617a8a4437.jpg,Bild 228,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3d6ad8323d92b5d393e4ef3d4f8cda41.jpg,Bild 229,"factory worker, agricultural labourer, agricultural labourer, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3d6e4ff9f2e4a1ecb18554f3d4d5da61.jpg,Bild 230,weapon
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3e343043e987218dc6ffa6ff65b983e7.jpg,Bild 231,"agricultural labourer, horse"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3e37fcd71258bcc13fb61487568bcb97.jpg,Bild 232,"agricultural labourer, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3e6cc295b5d24e7c2d70d7d6b1dbac9c.jpg,Bild 233,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3f35e1c9cb53d951fc690f6034efa8d1.jpg,Bild 234,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3f4e38cc1a7585c67b81222df991cd93.jpg,Bild 235,"agricultural labourer, agricultural labourer, factory worker, headscarf, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3f5a629e753b9780ac08413ea0132fff.jpg,Bild 236,"factory worker, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/3f5b0967609050138ffc7a73d408e15f.jpg,Bild 237,"agricultural labourer, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/406b1d824613072546db7752bd78c689.jpg,Bild 238,"flower, flower"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/40b35c5bc9b51de0e6088aa1ad2d99e3.jpg,Bild 239,"office worker, agricultural labourer, factory worker, military, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4118691f44342b5cff97fcced7212460.jpg,Bild 240,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/41c1abf97ec14a244fb707bcde6892e7.jpg,Bild 241,"flag, office worker, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/41ce3c21867355910900986d2cbbacc7.jpg,Bild 242,"factory worker, agricultural labourer, flag, hammer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/41ffe2b83c3aa6dc92e8c57bedb2f874.jpg,Bild 243,"factory worker, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/42158a68e2425c06ab8be35362b949f3.jpg,Bild 244,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4279157a7a53fe6988891bf6297a6666.jpg,Bild 245,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/427df7353950517d4c6fbbc9f9744971.jpg,Bild 246,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4312060733d9756cb1851244e95f2fd7.jpg,Bild 247,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4370b479d91eff0de9fc002f36ba0e1c.jpg,Bild 248,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/43d9120d0ad7503a319178c226653747.jpg,Bild 249,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/442680a32a753d6bb9c86647e2fcaeb6.jpg,Bild 250,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4432972ee6355c10701fb3f88822e433.jpg,Bild 251,"agricultural labourer, agricultural labourer, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4455fb031fb59a0d622501a34e4abb9d.jpg,Bild 252,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/44d444591090393c158fe55501776d9c.jpg,Bild 253,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/452cdfd6b94f4d7559517314ec60ad2d.jpg,Bild 254,"factory worker, factory worker, crane, agricultural labourer, crane, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/452d1538265585bda0528fda3d041f35.jpg,Bild 255,"factory worker, agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/459f432eb2cd8b3c1c1c01ca74d673ee.jpg,Bild 256,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/45e461625693fe1682dcd9cd42a276ac.jpg,Bild 257,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/45e5fe944afec0f0110e7e36771b0ca9.jpg,Bild 258,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4610ca5db30e2d9e96c2ec7edb38f990.jpg,Bild 259,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/46cb184513890449c8186dcb9661cdf6.jpg,Bild 260,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4714886720a8744a5d0923ab0a155788.jpg,Bild 261,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4781ba024daffe65e28d7d815c72a25a.jpg,Bild 262,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/47a8094f93637a8484da3b2af6535a20.jpg,Bild 263,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/47eea6e330f3872ede2b3ba3ad47cd57.jpg,Bild 264,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/482b99d4b09e4362f4b56290d59bbd9c.jpg,Bild 265,"book, book, flag, flag, flag, building, flag, flag, mountain, building, mountain, mountain, flag, mountain, mountain"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4895868c6ed465f92624c42056c3afae.jpg,Bild 266,"agricultural labourer, agricultural labourer, office worker, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/48b9591444223e69284c77421feb03df.jpg,Bild 267,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/49621f02734bbdf262ae68e0cd52fac7.jpg,Bild 268,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4a3d315f37d8fda77eb52b3d1e543e44.jpg,Bild 269,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4ae4b04f130cf29fbf024cab68d2d9bd.jpg,Bild 270,"flag, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4b594145d3b0432025f3b469627800b0.jpg,Bild 271,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4b92069939cbd8b46772e7732860a3cc.jpg,Bild 272,"factory worker, agricultural labourer, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4ba8e6872742f2e3861264af7556ad0e.jpg,Bild 273,"agricultural labourer, agricultural labourer, factory worker, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4bad9466367e02957f4307acc58e9e15.jpg,Bild 274,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4c01754aaa696df7c240d82e92b8a597.jpg,Bild 275,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4c10191360ac45603b0cc8fe60d1037f.jpg,Bild 276,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4c4c2e35f707dc84558c1f3ea5800e22.jpg,Bild 277,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4c6c22875abdea301a3442107da33265.jpg,Bild 278,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4c74f6c7834ef21a2366a582b10b6e08.jpg,Bild 279,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4c97aa3dd41e9857f0a7ef841131126a.jpg,Bild 280,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4cb62598831cb75eab7f1b61b73b2519.jpg,Bild 281,"agricultural labourer, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4cc3048bad768d0a09d820e0cb2dd1b3.jpg,Bild 282,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4cc8c156cdd4fb9c8307f0e7bebe2c7d.jpg,Bild 283,"military, headscarf, building, military, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4cd937989585b4921cb62f15deda9a20.jpg,Bild 284,"flag, flag, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4d360a702901d177ba180e8786f143c2.jpg,Bild 285,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4e2686f8cf884f5c689b2d1b72393baa.jpg,Bild 286,"factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4e37c0ff8d22389df8badea7640b3ddf.jpg,Bild 287,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4e94cc1a4d06a1dc991b0385d07e87c7.jpg,Bild 288,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4ebfdf5e42fce8789d09bb40adc94014.jpg,Bild 289,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4ec703b172f04a17b4a57d1c7f957949.jpg,Bild 290,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4ee3871fd3c47030de8ee7bf9ab6de52.jpg,Bild 291,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4efff693386f976277d5174f94f1c791.jpg,Bild 292,"agricultural labourer, agricultural labourer, agricultural labourer, headscarf, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4f75d576c8bab3d4c83a0eaa783241e2.jpg,Bild 293,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4f9605c1a32a605701567705a4777083.jpg,Bild 294,office worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/4fda672e77dff734bda4352d66c76238.jpg,Bild 295,"military, mountain, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/505d87501021d4bd0283948dba9126e4.jpg,Bild 296,"headscarf, agricultural labourer, agricultural labourer, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5090cee8d482d23a5c575b74e7d50f2e.jpg,Bild 297,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/50c09be676c9e35dfbc4cf15f7c5c428.jpg,Bild 298,"agricultural labourer, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/50f6e9a2fc1b8eeae72c80823d6aeeb8.jpg,Bild 299,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/51908f2fe4c7c4f938aff9e000933dac.jpg,Bild 300,"agricultural labourer, agricultural labourer, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/51f7834f2b79aab2a2ad51b357469242.jpg,Bild 301,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/51faf6553d0dcaeeb0169e8a1e55cc1b.jpg,Bild 302,"office worker, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/520bca30025163448bc4a7931f52435f.jpg,Bild 303,"hammer, mountain, mountain"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5230ed685e6672ac614e041897bb9789.jpg,Bild 304,"building, flag, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/523e96c7ab3c080f39c8b810bf11d176.jpg,Bild 305,weapon
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5291bdc6bf6845a25e2e4f84a6f5d5a0.jpg,Bild 306,"agricultural labourer, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/52d36054544e1924cc99269859baf1f1.jpg,Bild 307,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/52e4bd1724a9c65656aaf80f2be10070.jpg,Bild 308,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/532f43392c00c0a085d3798ad7e0b430.jpg,Bild 309,"building, agricultural labourer, crane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5333ecebf01f37b69e71cf41a8c23024.jpg,Bild 310,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/534374f04f5258307929b93e55ad37b1.jpg,Bild 311,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/534438bd9823581d3ad5da9486cfc944.jpg,Bild 312,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/534cc4f38a90d3ba6c25123ca91134b6.jpg,Bild 313,"agricultural labourer, headscarf, machinery, agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/53ae301637e27955920338fd9d57f4b8.jpg,Bild 314,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/53e9b657d4dcd68ee91aa0486499fdf6.jpg,Bild 315,"agricultural labourer, flag, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/53f57b2924a16278543e8324782589b4.jpg,Bild 316,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5404188273609729882242b316b9ff80.jpg,Bild 317,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/543f06c520f0969413d2b77d41f0fa34.jpg,Bild 318,"agricultural labourer, sky, wheat"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5475284cc6c3b7f2b5144adae0ec4970.jpg,Bild 319,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/54873ceacde61486782db3d0d5c27e51.jpg,Bild 320,"factory worker, agricultural labourer, headscarf, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/549806226835c5431b6d7e6c63d7ca75.jpg,Bild 321,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/54a50b1df4fbe7d15c5d7878265c2b08.jpg,Bild 322,"factory worker, factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/551b415aae2b345e7766fbcbb58e218b.jpg,Bild 323,"agricultural labourer, headscarf, grass, grass, headscarf, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/555ca4b5ad6d528b5fbd89e6243d6b5b.jpg,Bild 324,"military, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/555d97c2f813096d8323239533cfc8cd.jpg,Bild 325,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5561f1108f47dc7fb14247be60f6e06c.jpg,Bild 326,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/55964ef38fb3a1e179f4cc4b3afa4aec.jpg,Bild 327,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/562b9bc0918fe5d5ea18e5aa928cbc06.jpg,Bild 328,sky
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/565fb4cd9d5603ede4d4a1b28d55f97b.jpg,Bild 329,"agricultural labourer, mountain, factory worker, mountain"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5685325c50efc97005c2560970f0ec8f.jpg,Bild 330,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/56c1511e7fce7d8a4b47aa94af100de4.jpg,Bild 331,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/57667b587ac0586aade515877bb64074.jpg,Bild 332,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/57990919a6d347f36e16c0b399d45180.jpg,Bild 333,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5919cd7188737787e0476cd2843435cf.jpg,Bild 334,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5921b9a5eba6519fbcf0a53666a73507.jpg,Bild 335,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5929a2d6952c5df5b5412c560fbb2fec.jpg,Bild 336,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/595f5ad14844347bd55dd4c33c319397.jpg,Bild 337,"star, agricultural labourer, plane, flag, flag, factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/59873b3ca48da8d0d127fc28928c6be8.jpg,Bild 338,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/59f4f5ff0ce31c253d3c74ef105e25bb.jpg,Bild 339,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5a450590148e18d9517665e5c14d46ec.jpg,Bild 340,"weapon, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5a4b8e420858bc50f02de4164d35704a.jpg,Bild 341,"factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5a4c2ceb27d604b272abb403fdadb831.jpg,Bild 342,"factory worker, factory worker, headscarf, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5a96831e7c04c6bee51b5787466efe14.jpg,Bild 343,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5af2f6c371e10d2140f7f4ea37fdd891.jpg,Bild 344,"sky, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5b4cf2c1ad5a702c15e1f645b588afee.jpg,Bild 345,"factory worker, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5b94716874a6931d6fe184c5573f916b.jpg,Bild 346,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5b9b503909c27d6739cf878587cbbf00.jpg,Bild 347,"factory worker, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5bba142ce2f6d4e07c851c4d48f3301c.jpg,Bild 348,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5c4ae49ee0448a730809be79ce3a7f4c.jpg,Bild 349,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5d291a9471c52aa2572f91d26a6a048f.jpg,Bild 350,"agricultural labourer, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5d2f1cf427c8b5a42ad86c39216b4e31.jpg,Bild 351,weapon
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5d5787c41971842f25861136c021f7ba.jpg,Bild 352,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5e187a82d6ab0711318d04c4e1178fee.jpg,Bild 353,"agricultural labourer, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5e26323913fa2e089163e5de48293251.jpg,Bild 354,"agricultural labourer, agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5e2bb730100da04208d5d895898d2a58.jpg,Bild 355,"flag, factory worker, factory worker, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5e877e871e853e06e23451f14d96f6b9.jpg,Bild 356,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5eb9c7fa5a4fa74ca237dd0252827a37.jpg,Bild 357,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5f0588c97ad74aba322da96f45adedd0.jpg,Bild 358,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5f1b005c55cd0af282d1fe078a7e0889.jpg,Bild 359,"agricultural labourer, factory worker"
